Artist,Song,Total Stream,MediumPositionsINTERN,MediumPositionsALL,PresenceIN,Markets,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Key,Mode,Duration_ms,Tempo,Genre
ByeAlex és a Slepp,Merülök,6683,32.0,0.52,1,79,412,713,509,1.23e-06,99,-8.08,0.0761,0.26,9,1,240000,141.94,hungarian pop
ByeAlex és a Slepp,Így hagysz el,7177,28.0,0.45,1,79,0.18,834,0.75,0,145,-5373,0.0478,886,11,1,212571,105006,hungarian pop
Bárbara Tinoco,Antes Dela Dizer Que Sim,11247,50.0,0.81,1,79,826,409,329,0,0.12,-10031,0.0787,521,0,1,185196,180386,portuguese pop
Bárbara Tinoco,Sei Lá,15011,30.0,0.48,1,79,874,406,388,0,104,-7.4,0.0304,0.23,7,0,202386,100026,portuguese pop
CA$HANOVA BULHAR,Zrovna jí to najelo,9977,13.0,0.21,1,78,219,717,544,0.00155,112,-8521,217,0.37,9,1,161030,154951,czsk hip hop
CLMD,DANCE,109955,30.0,0.48,2,79,0.0263,766,548,1.81e-06,0.21,-7834,0.0373,552,7,1,174448,122012,big room
COLORPiTCH,หมอก,32653,16.0,0.26,1,79,0.0746,799,796,0,336,-6749,0.0476,451,7,1,224000,140005,thai pop
Calby,Burnout,22599,44.0,0.71,1,5,0.42,668,662,2.52e-06,0.0818,-4136,0.0262,592,0,0,197171,94988,no genres
Calin,Růže,10061,12.0,0.19,1,78,156,538,526,0,0.11,-7.38,0.0381,378,7,1,255000,80003,dance pop
Camila Cabello,My Oh My (feat. DaBaby),637357,31.62,0.51,21,79,18,724,491,1.29e-05,0.0887,-6024,0.0296,383,8,1,170746,105046,dance pop
Camilo,La Difícil,58104,40.0,0.65,3,79,0.67,675,0.36,0,159,-6.66,112,553,1,0,158533,64921,colombian pop
Camilo,Tutu,133810,40.33,0.65,3,79,273,731,832,0,0.0665,-2592,0.0503,0.94,9,1,178613,146013,colombian pop
Camur,La Trompeta (feat. MellemFingaMuzik),24953,37.0,0.6,1,79,215,848,672,0,178,-5728,275,859,10,0,169682,105131,danish hip hop
Capital Bra,100k Cash,577920,2.67,0.04,3,79,289,701,714,0,0.0883,-5906,524,604,10,1,173353,86.91,german hip hop
Capital Bra,110,201778,37.67,0.61,3,79,533,0.48,749,0,0.0997,-5057,432,419,1,0,194534,179056,german hip hop
Capital Bra,Tilidin,10648,45.0,0.73,1,79,407,631,673,0,154,-4892,384,721,6,0,172036,83504,german hip hop
Capo,Karakol,344098,26.0,0.42,3,78,0.7,833,632,0,125,-7343,122,657,5,0,188307,142982,italian hip hop
Carl Brave,Che Poi,102238,46.0,0.74,1,79,189,764,774,0,107,-5301,0.0594,614,6,1,188182,110.09,italian alternative
Cavallini & Shrty,16v,24564,17.0,0.27,1,79,234,809,628,0,0.0903,-10098,104,513,4,0,165161,93021,finnish hip hop
Ceg,YEŞİLLENDİR,58091,50.0,0.81,1,79,212,879,0.73,1.04e-06,115,-4551,247,877,10,0,199197,154989,classic italian pop
Ceza,Beatcoin,60776,46.0,0.74,1,79,0.19,912,786,0.0104,102,-4901,259,494,7,1,235080,125.09,classic italian pop
Cezinando,Hollywood,37118,32.0,0.52,1,79,25,762,704,0,132,-7775,391,706,0,1,181760,170135,norwegian hip hop
Cezinando,Krokodilletårer,29257,46.0,0.74,1,79,398,855,444,0,126,-5789,103,416,0,0,193307,122042,norwegian hip hop
Cezinando,Rosa sky,28657,49.0,0.79,1,79,125,0.82,545,0,0.0488,-6635,142,961,5,1,142293,92969,norwegian hip hop
Cezinando,Spøkelser,44334,20.0,0.32,1,79,146,737,596,8.46e-05,107,-7638,288,716,8,1,218920,80005,norwegian hip hop
Chamaco,Caen & Caen,10006,32.0,0.52,1,79,273,852,681,0,0.1,-4.8,0.0919,396,11,0,248607,104945,no genres
Chillies,Có Em Đời Bỗng Vui,10323,26.0,0.42,1,79,363,656,331,0,201,-9.88,0.0302,0.5,2,1,247429,105015,indie viet
Chillies,Mascara,11791,20.0,0.32,1,78,0.7,657,363,0.000109,147,-9852,0.0289,201,2,1,295790,113.96,indie viet
Chris Rea,Driving Home for Christmas - 2019 Remaster,1684,30.0,0.48,1,77,355,513,583,1.96e-05,0.18,-10863,38,866,9,1,241627,180184,album rock
Christian Nodal,De Los Besos Que Te Di,240684,45.0,0.73,1,79,388,504,503,0,0.0608,-3313,0.0422,709,7,1,167373,195593,regional mexican pop
Chuck Berry,Run Rudolph Run - Single Version,1555,36.0,0.58,1,79,812,681,715,9.43e-06,0.0777,-10609,0.0912,957,7,0,165733,152132,blues rock
Conan Gray,Maniac,87789,41.0,0.66,1,79,0.00122,623,647,0,354,-5438,0.04,522,8,1,185787,107987,bedroom pop
Céline Dion,Happy Xmas (War Is Over),1394,45.0,0.73,1,79,451,343,0.6,0,279,-5254,0.0302,158,3,1,254707,172044,canadian pop
D Gerrard,คำมั่น (feat. Ammy The Bottom Blues),26821,27.0,0.44,1,78,0.66,684,516,3.54e-06,0.13,-11267,0.0734,535,6,1,282254,141841,thai hip hop
DAOKO×米津玄師,打上花火,49570,41.0,0.66,1,79,288,625,668,0,107,-4315,0.0249,292,6,1,289578,95968,j-pop
DIMMA,Almyrkvi,2154,36.0,0.58,1,79,0.00428,0.57,761,0,0.0879,-7917,0.0381,651,5,1,174947,94977,italian alternative
DIVINE,Chal Bombay,48301,43.0,0.69,1,79,0.0434,862,619,0,117,-6645,318,512,6,0,174000,95036,deep dubstep
DJ Matrix,Courmayeur,104619,39.0,0.63,1,1,0.0065,703,877,0,443,-4521,35,729,1,0,193125,127945,italian arena pop
DJ Stephan,Opos Palia,5044,37.0,0.6,1,79,261,756,727,0,0.0764,-5523,306,0.39,1,1,157895,94909,greek pop
DMS,Lepšia Pesnička,2772,48.0,0.77,1,79,633,742,574,0,0.0953,-6539,291,561,3,0,198750,160261,french hip hop
Da LAB,Thanh Xuan,9279,34.0,0.55,1,79,855,676,0.4,2.71e-06,124,-10771,0.0405,347,7,0,220510,90028,indie viet
DaBaby,BOP,679486,43.67,0.7,3,79,189,769,787,0,129,-3909,367,836,11,1,159715,126.77,nc hip hop
Daddy Yankee,Definitivamente,409763,35.47,0.57,15,79,586,813,764,0,253,-3.39,105,429,8,0,217773,100047,latin
Daddy Yankee,Que Tire Pa Lante,394496,41.33,0.67,6,79,0.0478,658,901,0,0.12,-2814,0.0357,708,7,1,210520,93979,latin
Dadá Boladão,Surtada - Remix Brega Funk,302009,20.0,0.32,1,79,249,832,0.55,8.17e-06,182,-7026,0.0587,881,5,0,152784,154064,brega funk
Dalex,Bellaquita,19623,48.0,0.77,2,79,0.09,584,698,6.87e-05,171,-3961,106,765,8,1,204787,166047,r&b en espanol
Dalex,Bellaquita - Remix,458449,34.5,0.56,14,79,141,795,715,2.12e-06,179,-3582,0.0838,758,1,1,304733,165941,r&b en espanol
Dalex,Hola - Remix,1342496,18.06,0.29,17,79,471,654,672,0,0.0781,-5.98,311,343,0,0,249520,181857,r&b en espanol
Dalex,Mejor,318749,33.09,0.53,11,79,185,524,577,0,103,-4501,0.18,0.19,2,1,201361,175396,r&b en espanol
Dan + Shay,"10,000 Hours (with Justin Bieber)",432367,31.17,0.5,6,78,153,654,0.63,0,111,-4644,0.0259,0.43,10,1,167693,89991,contemporary country
Danna Paola,Oye Pablo,257324,43.0,0.69,1,79,0.0363,697,635,4.1e-06,286,-4747,178,497,8,1,177533,179758,latin
Danna Paola,Sodio,318359,33.0,0.53,1,79,0.0659,651,761,0,148,-4805,63,433,9,0,186947,89024,latin
Dardan,6AM.........,155938,43.0,0.69,1,4,559,731,518,0,0.18,-7603,0.0567,383,0,0,185802,105006,albanian hip hop
Dardan,D A YYY T O N A,478999,6.67,0.11,3,4,155,861,659,0,107,-6.67,101,582,1,1,164000,109973,albanian hip hop
Darin,En säng av rosor,76950,19.0,0.31,1,1,0.87,423,277,0,139,-7.89,0.0302,298,6,0,222139,132552,europop
Darlene Love,Christmas (Baby Please Come Home),2387,16.0,0.26,1,2,275,0.34,805,0.000459,0.0988,-6.3,53,341,8,1,164959,126865,adult standards
Darshan Raval,Asal Mein,65419,26.0,0.42,1,79,721,656,551,1.26e-06,0.0947,-6.43,0.0299,0.33,8,1,224240,114108,desi pop
Daryl Hall & John Oates,Jingle Bell Rock - Daryl's Version,1797,27.0,0.44,1,79,613,666,841,0,113,-3592,0.0312,0.84,2,1,126360,128718,album rock
Dat Boi Dee,"Vamos Pa La Banca (feat. Geolier, Samurai Jay & Lele Blade)",111258,35.0,0.56,1,79,0.0284,697,803,0,365,-6.86,162,605,10,0,200106,93859,rap napoletano
Dave,Location (feat. Burna Boy),144992,33.0,0.53,1,79,271,812,496,0,0.0955,-5969,297,0.55,9,0,241293,109979,no genres
Daði Freyr,Gagnamagnið,5987,4.0,0.06,1,79,0.0271,868,307,7.65e-06,0.0696,-11508,0.0919,553,3,0,173387,127043,icelandic pop
Daði Freyr,Hvað með það?,2555,25.0,0.4,1,79,0.0529,838,557,0.00174,0.0665,-10751,0.0642,652,6,1,172922,120003,icelandic pop
Daði Freyr,Think About Things,16083,12.0,0.19,2,79,0.0235,869,291,0.000126,113,-11477,0.0615,646,3,0,173387,127051,icelandic pop
Dean Martin,"Baby, It's Cold Outside",1474,42.0,0.68,1,79,882,469,196,0,0.0513,-16093,0.0571,537,0,1,143733,130036,adult standards
Dean Martin,Let It Snow! Let It Snow! Let It Snow!,1885,25.0,0.4,1,79,912,452,0.24,2.45e-06,175,-14014,0.0351,701,1,1,117147,134005,adult standards
December Avenue,Kung 'Di Rin Lang Ikaw,90283,44.0,0.71,1,79,161,502,482,0,187,-4736,0.0288,132,4,1,267759,133894,opm
Dennis DJ,Te Prometo,252974,27.0,0.44,1,79,0.0917,818,645,0,0.0992,-5325,274,868,9,0,161653,174038,baile pop
Dermot Kennedy,Outnumbered,17936,32.0,0.52,1,79,247,614,684,0,0.0976,-5.79,157,258,0,1,245700,156.85,folk-pop
Dermot Kennedy,Power Over Me,19566,28.0,0.45,1,79,0.0518,319,841,0,106,-4232,147,483,9,0,206960,173868,folk-pop
Dhurata Dora,Lass los,412150,8.33,0.13,3,79,0.0413,892,547,5.44e-06,103,-5709,0.0857,512,5,0,180804,103.97,albanian hip hop
Diego & Arnaldo,Relógio Parado (Ao Vivo),189315,50.0,0.81,1,79,0.0486,741,943,0,965,-1401,0.0456,725,1,1,180736,124984,sertanejo
Diego & Victor Hugo,Áudio - Ao Vivo em Brasília,199423,45.0,0.73,1,79,515,605,812,0,419,-4699,0.0403,451,11,1,190245,110081,sertanejo pop
DigDat,Ei8ht Mile (feat. Aitch),113011,48.0,0.77,1,79,348,836,0.89,0,0.0765,-4554,318,727,10,1,176089,143035,uk hip hop
Diljit Dosanjh,Sauda Khara Khara,48785,40.0,0.65,1,79,0.0939,687,919,4.38e-06,105,-3.28,0.0635,877,10,1,211034,145037,desi pop
Dimelo Flow,Sigues Con El,1648099,12.53,0.2,17,79,0.11,883,668,0.000529,0.0734,-2957,113,676,9,1,226533,87972,latin
Diodato,Fai rumore,244681,8.0,0.13,1,79,218,417,626,0,0.0805,-6055,0.0366,144,6,1,216140,143358,italian alternative
Doja Cat,Boss Bitch,2692,43.5,0.7,2,78,127,707,955,0,202,-4593,222,575,10,0,134240,125989,la indie
Doja Cat,Say So,2741796,19.39,0.31,36,79,256,787,673,3.57e-06,0.0904,-4577,158,786,11,0,237893,110962,la indie
Dolu Kadehi Ters Tut,Kaçar Gider,92963,21.0,0.34,1,79,0.0469,646,621,0.26,628,-11273,0.0478,169,4,0,212344,128037,turkish rock
Dominic Fike,3 Nights,123148,31.5,0.51,2,79,223,815,518,0,104,-6594,0.0897,877,7,0,177667,151891,alternative pop rock
Don Toliver,No Idea,6030,39.0,0.63,2,78,519,651,631,0.000579,165,-5717,0.0896,0.35,6,0,154424,127994,hip hop
Dorian,Sladká,7869,32.0,0.52,1,79,364,874,597,0,0.0987,-9803,103,691,3,0,178119,99993,no genres
Dotter,Bulletproof,129571,4.0,0.06,1,78,0.0617,462,607,0.00013,287,-5308,0.0421,346,11,0,186395,189961,swedish pop
Drax Project,Catching Feelings (feat. SIX60),30368,10.0,0.16,1,74,607,397,524,0,157,-5846,103,343,3,1,218854,175562,australian pop
Dree Low,LIGA,59831,36.0,0.58,1,79,114,0.84,531,8.1e-06,0.47,-8866,194,694,8,1,156000,100.0,swedish gangsta rap
Dree Low,PIKACHU,78785,18.0,0.29,1,79,539,711,526,4.62e-06,106,-10546,324,244,10,1,149630,161719,swedish gangsta rap
Dree Low,PIPPI,75759,20.0,0.32,1,77,429,885,0.57,0,111,-8172,222,0.86,8,0,164575,105036,swedish gangsta rap
DrefGold,Snitch E Impicci (con FSK SATELLITE),310818,4.0,0.06,1,79,0.0631,0.89,555,0,111,-5632,125,265,1,1,202381,126032,italian hip hop
Drängarna,Piga & dräng,89284,14.0,0.23,1,79,0.0227,0.62,803,0,645,-6993,0.0484,717,4,1,178377,133938,dansband
Dua Lipa,Don't Start Now,4440390,16.52,0.27,54,75,0.0125,794,793,0,0.0952,-4521,0.0842,677,11,0,183290,123941,dance pop
Dua Lipa,Physical,763164,29.22,0.47,23,75,0.0137,647,844,0.000658,102,-3756,0.0457,746,0,1,193829,146962,dance pop
Duncan Laurence,Love Don’t Hate It,73280,47.0,0.76,1,79,154,561,564,0,114,-9268,0.0548,473,7,0,171072,83965,dutch pop
Dzsúdló,Lej,7132,29.0,0.47,1,79,527,0.79,503,0,0.11,-9301,206,241,1,1,168800,75008,magyar trap
Earth Patravee,หวง (You're Mine),27846,24.0,0.39,1,79,671,629,553,0,106,-5162,403,544,7,0,216162,125912,thai idol
Eartha Kitt,Santa Baby (with Henri René & His Orchestra),1331,47.0,0.76,1,75,902,0.7,138,0,185,-12347,0.0612,0.49,8,1,206067,84487,adult standards
Ed Sheeran,Beautiful People (feat. Khalid),160982,39.44,0.64,9,78,124,0.64,648,0,0.0802,-8113,187,548,5,0,197867,92977,pop
Ed Sheeran,I Don't Care (with Justin Bieber),237964,40.56,0.65,9,78,0.0912,798,675,0,0.0894,-5041,0.0442,842,6,1,219947,101956,pop
Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),133859,44.0,0.71,2,78,148,857,621,0,0.0865,-6376,0.0824,668,9,0,204467,97986,pop
Eden Ben Zaken,אגרוף,8425,16.0,0.26,1,79,542,535,523,0.000128,208,-8765,0.0591,272,5,0,189429,120014,israeli mediterranean
Eden Hason,אין יותר מועדונים,6387,42.0,0.68,1,70,0.0952,612,0.61,6.03e-06,0.0743,-5241,0.0612,632,8,1,184003,89926,israeli mediterranean
Eden Hason,את חסרה לי,17383,1.0,0.02,1,70,0.47,651,645,0,0.2,-6173,63,307,4,0,169846,129928,israeli mediterranean
Eden Hason,כפיות,6191,46.0,0.74,1,70,506,636,495,0,118,-7474,0.0446,334,11,1,179522,119779,israeli mediterranean
Egert Milder,Georgia (On My Mind),2126,22.0,0.35,1,79,127,764,548,8.05e-06,136,-6348,0.0291,417,7,1,182840,95918,estonian indie
EggPlantEgg,浪流連,20662,22.0,0.35,1,79,395,536,499,1.31e-06,0.0768,-8033,0.0397,162,0,1,253724,123593,mandopop
El Alfa,Coronao Now (Remix),22753,24.5,0.4,2,79,255,883,853,0.000723,412,-4773,168,695,1,1,250169,118003,dembow
El Dipy,Par-Tusa,164014,13.5,0.22,2,78,268,787,843,0,0.0471,-2953,0.0435,966,2,1,190851,96997,cumbia pop
Eladio Carrion,Mi Error - Remix,13374,30.0,0.48,1,79,0.0981,663,842,0,0.45,-3.42,104,433,7,1,315862,174024,reggaeton
Elaine,Risky,4006,41.0,0.66,1,79,0.52,758,373,7.28e-06,122,-9754,0.0492,622,5,0,182857,105022,operatic pop
Elaine,You're the One,5887,15.0,0.24,1,79,651,743,0.39,0,109,-11299,0.0544,0.25,8,1,200348,114914,operatic pop
Elastinen,Epäröimättä hetkeekään,50744,2.0,0.03,1,79,0.0349,487,669,0,755,-8087,0.0692,347,8,0,200740,93016,finnish dance pop
Eleni Foureira,Yayo,4893,42.0,0.68,1,79,584,715,629,0.00012,107,-6153,0.0385,498,7,0,168227,140.11,eurovision
Elettra Lamborghini,Musica (E Il Resto Scompare),241950,9.0,0.15,1,79,0.0217,779,835,0,393,-4.04,134,922,0,1,194606,114987,italian arena pop
Eliad,מסע,9314,11.0,0.18,1,79,116,803,664,0,0.0978,-6.89,0.0382,593,0,0,207228,115022,cuban rumba
Elias,Revenge,219124,33.5,0.54,2,79,0.0286,843,627,0,0.11,-6552,0.0915,0.43,9,0,171286,146139,no genres
Elodie,Andromeda,160326,19.0,0.31,1,79,0.0208,535,698,0,113,-5334,103,0.54,8,0,202400,121755,italian arena pop
Elvis Presley,Blue Christmas,1947,24.0,0.39,1,79,902,465,0.27,0.00104,145,-16661,0.0425,0.58,4,1,129173,94519,adult standards
Emilia,Djeale,1160,44.0,0.71,1,79,262,762,658,0,0.0963,-5389,0.0595,688,4,0,212658,158011,cumbia pop
Eminem,Godzilla (feat. Juice WRLD),1734506,19.21,0.31,28,79,145,808,745,0,292,-5.26,342,829,10,0,210800,165995,detroit hip hop
Emir Can İğrek,Nalan,98404,18.0,0.29,1,1,0.19,0.54,418,685,198,-15.57,0.0761,189,7,0,199959,91042,turkish rock
Emma Heesters,Pa Olvidarte (Beste Zangers Seizoen 2019),158280,7.0,0.11,1,79,658,718,0.86,0,187,-7515,115,914,11,1,171508,89.97,channel pop
Emmsjé Gauti,Malbik,3494,14.0,0.23,1,79,276,702,608,0,0.0931,-7501,0.0577,456,2,1,195221,124052,icelandic hip hop
Endor,Pump It Up,88250,48.5,0.78,2,78,203,899,894,0.000101,0.0606,-7255,222,654,1,1,150635,129046,deep groove house
Endy Chow,逃生門 (feat. 王灝兒) - 門外版,6220,37.0,0.6,1,78,627,539,437,0,0.0875,-9871,0.0863,356,1,1,269236,147.95,c-pop
Enes Batur,Dolunay,74821,31.0,0.5,1,1,358,711,594,0,0.0938,-9286,0.09,273,0,0,182037,129943,no genres
Eric Chou,"你,好不好? - Ending Theme Song of TVBS Series ""Life List""",22225,47.5,0.77,2,79,643,439,477,0,114,-5638,0.0307,535,10,1,287307,159819,mandopop
Eric Chou,怎麼了,55263,13.0,0.21,2,79,696,502,565,5.55e-05,156,-7779,0.0358,253,9,1,321040,139926,mandopop
Erika Vikman,Cicciolina,23113,19.0,0.31,1,78,176,663,923,0,596,-4158,0.0556,805,11,0,178559,130912,iskelma
Evelina,Hitaasti,29386,9.0,0.15,1,79,219,435,591,2.15e-06,0.17,-5117,0.0543,396,8,1,212315,95578,finnish dance pop
Eyal Golan,ממה את מפחדת,6704,36.0,0.58,1,70,635,642,384,0,114,-8.05,0.0381,387,11,0,191608,131796,israeli mediterranean
Ezhel,LOLO,81460,26.0,0.42,1,78,187,793,603,0.00182,0.0756,-7314,88,566,9,1,170114,140074,turkish hip hop
FELIX SANDMAN,BOYS WITH EMOTIONS,59093,38.0,0.61,1,79,325,864,654,6.45e-05,415,-7734,0.25,552,11,0,164639,104972,swedish pop
FRANKIEONTHEGUITAR,"Tempo (feat. Tóy Tóy T-Rex, LON3R JOHNY & BISPO)",22138,14.0,0.23,1,79,562,756,607,6.47e-06,143,-6006,0.0438,0.4,7,0,250169,123994,hip hop tuga
FSK SATELLITE,ANSIA NO,169147,16.0,0.26,1,79,153,823,678,0,218,-6664,0.56,706,1,1,148500,160133,italian hip hop
Farid Bang,CHING CHING CHING,190465,31.0,0.5,1,78,0.0201,783,503,0,129,-6.94,313,149,1,1,167693,147987,german hip hop
Fasma,Per sentirmi vivo,297819,5.0,0.08,1,79,167,579,718,0,114,-5.05,293,211,2,1,177880,168279,italian hip hop
Feby Putri,Halu,144451,19.0,0.31,1,79,866,338,251,0.0324,0.11,-14544,0.0353,0.0963,2,1,265738,116419,no genres
Feid,BORRAXXA,53550,17.0,0.27,1,79,0.0833,845,624,0.00394,0.0855,-5241,0.0737,793,8,1,223867,90993,colombian pop
Felipe Original,Hit Contagiante,209849,38.0,0.61,1,79,132,819,684,0,0.0942,-7169,119,959,6,0,137125,170187,brega funk
Felix Jaehn,Close Your Eyes,196781,35.5,0.57,2,79,0.0663,818,823,1.17e-05,133,-3563,0.2,0.52,11,0,160794,128136,dance pop
Fer Palacio,Ya No Mas,124679,26.0,0.42,2,67,138,795,676,0.00373,0.0734,-6429,0.0589,882,6,1,158447,100045,no genres
Fernando Daniel,Se Eu,12419,47.0,0.76,1,79,592,493,0.34,0,0.28,-8315,0.0438,641,11,1,197442,171821,portuguese pop
Fiersa Besari,Celengan Rindu,107246,34.0,0.55,1,79,105,636,536,0,135,-7646,0.0432,661,9,1,224280,116878,indonesian indie
Fiersa Besari,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan",148860,17.0,0.27,1,79,127,531,825,0,195,-5462,0.0432,247,4,1,249503,125043,indonesian indie
Fiersa Besari,Waktu Yang Salah,147894,18.0,0.29,1,79,788,665,276,0,99,-11053,26,299,7,1,325947,130.07,indonesian indie
Fish Leong,慢冷,18490,32.0,0.52,1,79,786,521,471,0,105,-8247,0.0317,269,4,1,289604,92054,c-pop
Fler,GRIND,207680,26.0,0.42,1,79,176,867,643,2.09e-06,0.11,-5176,0.0881,0.49,9,0,170667,134.92,german hip hop
Flume,Rushing Back,108706,28.0,0.45,1,79,357,574,612,0,158,-4741,0.0781,368,0,1,231663,136046,australian dance
Follow The Flow,Nem tudja senki,5159,48.0,0.77,1,79,414,605,664,0,168,-6114,104,271,1,1,217803,84871,hungarian hip hop
Francesco Gabbani,Viceversa,217980,12.0,0.19,1,78,0.0348,529,718,0,0.0751,-4776,0.0336,551,4,1,215267,147835,italian arena pop
Frank Sinatra,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),3075,8.0,0.13,1,79,903,653,259,0,362,-13336,0.0595,835,2,1,155453,142157,adult standards
Frank Sinatra,Mistletoe And Holly - Remastered 1999,1430,44.0,0.71,1,79,804,607,103,0,76,-14405,0.0404,341,9,1,136427,110378,adult standards
Fred De Palma,Il tuo profumo,104347,40.0,0.65,1,78,0.0034,782,657,0,111,-7592,0.0501,303,5,1,160856,106014,italian arena pop
Fred De Palma,Se iluminaba,201020,17.0,0.27,1,78,0.0811,791,693,0,0.0708,-4.98,0.0639,624,0,0,174291,123923,italian arena pop
Fred De Palma,Una volta ancora (feat. Ana Mena),98851,47.0,0.76,1,78,0.0848,771,638,0,104,-5342,0.0622,591,8,1,174291,124039,italian arena pop
Free Finga,Manęs Daugiau,1995,30.0,0.48,1,79,0.0379,763,388,0.000538,129,-12662,0.0819,345,10,0,190826,107038,lithuanian hip hop
Frenna,Venus,163973,5.0,0.08,1,79,0.0313,816,696,0,121,-6058,0.0938,538,9,1,204667,99943,dutch hip hop
Funzo & Baby Loud,Malibú con Piña,138278,40.0,0.65,1,79,359,642,705,0,0.16,-6514,0.0409,681,11,0,167999,96411,trap espanol
Furytto,Atvirai,1809,37.0,0.6,1,79,182,797,493,0.0317,108,-12962,262,223,5,0,126897,173993,no genres
Future,Life Is Good (feat. Drake),2066116,20.79,0.34,28,79,0.0706,676,609,0,152,-5831,481,508,2,0,237735,142037,atl hip hop
Fy,Apo Ti Fimi,5254,35.0,0.56,1,79,27,925,639,0,103,-6583,162,355,10,0,207429,140014,no genres
Fy,Aroma,13352,3.0,0.05,1,79,0.33,858,764,0,0.0929,-5479,197,582,6,0,168261,92047,no genres
Fy,Benjamin Franklin,8259,12.0,0.19,1,79,0.0023,891,568,7.18e-05,0.0959,-8243,364,391,1,1,187742,155032,no genres
Fy,Cameras & Flash,7494,16.0,0.26,1,79,113,792,737,0,246,-5978,178,802,11,0,161928,166146,no genres
Fy,Ganador - Intro,7596,14.0,0.23,1,79,0.16,754,599,0,159,-6871,193,205,5,1,151319,182167,no genres
Fy,Just Like Me,16302,2.0,0.03,1,79,0.24,811,747,0,57,-8021,176,614,7,1,204000,79996,no genres
Fy,Kalitera Apo Sena,6114,30.0,0.48,1,79,0.00507,893,694,0,0.0677,-5989,284,706,4,0,180000,150076,no genres
Fy,Me Ta Idia Matia,7483,17.0,0.27,1,79,435,842,619,0,0.0744,-7518,222,513,2,0,210000,125905,no genres
Fy,Payroll,6908,20.0,0.32,1,79,173,716,617,0,109,-7594,412,766,7,1,163765,170045,no genres
Fy,Superstar,9309,7.0,0.11,1,79,124,846,0.7,0,0.07,-6728,289,756,9,1,170118,169995,no genres
Fy,Woh,7478,18.0,0.29,1,79,0.0736,662,467,1.25e-06,0.0528,-7109,0.26,0.31,2,1,156667,89962,no genres
G Herbo,PTSD,539393,49.0,0.79,1,79,0.0317,883,808,0,207,-3158,183,805,1,0,232065,119012,chicago drill
G-Eazy,Still Be Friends (feat. Tory Lanez & Tyga),84631,42.33,0.68,3,79,0.00509,803,759,0,0.0921,-4692,0.0494,284,7,0,213308,104.0,indie pop rap
G.E.M.,倒數,19737,26.0,0.42,1,79,0.0215,526,671,2.7e-06,104,-5655,0.0324,204,5,1,229333,164062,mandopop
G.E.M.,句號,25119,10.0,0.16,1,79,248,0.72,0.48,0,0.0704,-8552,0.0604,464,10,1,235632,143945,mandopop
G.E.M.,透明,17745,37.0,0.6,1,79,331,695,522,0,101,-9945,0.0442,363,8,1,217264,138063,mandopop
GAYAZOV$ BROTHER$,Увезите меня на Дип-хаус,1466,43.0,0.69,1,78,0.0759,663,731,0,203,-5983,0.0665,0.39,11,0,176640,124914,russian dance
GDRN,Af og til,2040,40.0,0.65,1,79,671,794,0.81,0.0542,0.0712,-8198,99,0.96,6,0,158427,159994,icelandic pop
GDRN,Vorið,1981,43.0,0.69,1,79,0.0789,772,634,0.0222,105,-9032,93,323,0,1,258973,94985,icelandic pop
GLK,93% [Tijuana],172472,15.0,0.24,1,79,621,803,686,0,181,-5222,0.0639,797,9,1,222806,136055,francoton
Galena,Lamborghini,1173,42.0,0.68,1,79,292,774,827,0,0.0852,-4024,114,761,0,0,209379,144.96,bulgarian pop
Gambi,Dans l'espace (feat. Heuss l'Enfoiré),203270,8.0,0.13,1,78,0.0286,916,0.57,1.96e-06,0.0851,-6278,0.18,0.7,1,1,169702,110.05,rap francais
Gambi,Popopop,111894,38.0,0.61,1,78,0.0477,833,652,0.000138,145,-6194,0.31,414,0,0,155632,130002,rap francais
Gavin D,A Rocket to the Moon,32220,20.0,0.32,1,79,363,628,445,9.2e-05,118,-7657,0.0253,114,2,1,291892,147986,acoustic pop
Gavin D,รักได้ป่าว,40236,9.0,0.15,1,79,447,811,403,0,0.25,-10785,0.0445,389,5,1,224792,93994,acoustic pop
Gazapizm,Pisliğin Üstüne Basmışlar,94955,20.0,0.32,1,79,0.00542,758,664,0.000201,0.0829,-7424,0.0427,666,0,1,202432,126029,turkish hip hop
Gazapizm,Sağı Solu Kes,235301,2.0,0.03,1,79,0.0592,937,438,0.000608,126,-9278,292,457,0,1,264064,120034,turkish hip hop
Gazapizm,Unutulacak Dünler,215951,3.0,0.05,1,79,0.0655,627,833,3.26e-05,129,-7218,179,0.69,5,0,295637,179935,turkish hip hop
Gettomasa,Jeesei,14740,49.0,0.79,1,79,0.0123,797,659,1.11e-06,241,-5701,173,179,10,0,181006,153905,finnish dance pop
Gettomasa,Silmät,16598,42.0,0.68,1,79,182,788,726,0,239,-6262,356,784,7,1,229347,180092,finnish dance pop
Ghali,22:22,98455,48.0,0.77,1,78,0.0949,0.75,729,4.06e-06,186,-6459,0.0447,0.42,0,1,180000,94975,italian hip hop
Ghali,Boogieman (feat. Salmo),361026,3.0,0.05,1,78,0.0853,0.8,724,0.000249,0.0922,-7843,0.07,351,1,1,159911,112049,italian hip hop
